"","demvotesh","demelected","demmvlag","year","campaign_funding"
"79",NA,NA,NA,NA,NA
"80",NA,NA,NA,NA,NA
"81",NA,NA,NA,NA,NA
"82",NA,NA,NA,NA,NA
"83",NA,NA,NA,NA,NA
"84",NA,NA,NA,NA,NA
"85",NA,NA,NA,NA,NA
"86",NA,NA,NA,NA,NA
"87",NA,NA,NA,NA,NA
"88",NA,NA,NA,NA,NA
"89",NA,NA,NA,NA,NA
"90",NA,NA,NA,NA,NA
"91",NA,NA,NA,NA,NA
"92",NA,NA,NA,NA,NA
"93",NA,NA,NA,NA,NA
"94",NA,NA,NA,NA,NA
"95",NA,NA,NA,NA,NA
"96",NA,NA,NA,NA,NA
"97",NA,NA,NA,NA,NA
"98",NA,NA,NA,NA,NA
"99",NA,NA,NA,NA,NA
"100",NA,NA,NA,NA,NA
"101",NA,NA,NA,NA,NA
"102",NA,NA,NA,NA,NA
"103",NA,NA,NA,NA,NA
"104",NA,NA,NA,NA,NA
"105",NA,NA,NA,NA,NA
"106",NA,NA,NA,NA,NA
"107",NA,NA,NA,NA,NA
"108",NA,NA,NA,NA,NA
"109",NA,NA,NA,NA,NA
"110",NA,NA,NA,NA,NA
"111",NA,NA,NA,NA,NA
"112",NA,NA,NA,NA,NA
"113",NA,NA,NA,NA,NA
"114",NA,NA,NA,NA,NA
"115",NA,NA,NA,NA,NA
"116",NA,NA,NA,NA,NA
"117",NA,NA,NA,NA,NA
"118",NA,NA,NA,NA,NA
"119",NA,NA,NA,NA,NA
"120",NA,NA,NA,NA,NA
"121",NA,NA,NA,NA,NA
"122",NA,NA,NA,NA,NA
"123",NA,NA,NA,NA,NA
"124",NA,NA,NA,NA,NA
"125",NA,NA,NA,NA,NA
"126",NA,NA,NA,NA,NA
"127",NA,NA,NA,NA,NA
"128",NA,NA,NA,NA,NA
"129",NA,NA,NA,NA,NA
"130",NA,NA,NA,NA,NA
"131",NA,NA,NA,NA,NA
"132",NA,NA,NA,NA,NA
"133",NA,NA,NA,NA,NA
"134",NA,NA,NA,NA,NA
"135",NA,NA,NA,NA,NA
"136",NA,NA,NA,NA,NA
"137",NA,NA,NA,NA,NA
"138",NA,NA,NA,NA,NA
"139",NA,NA,NA,NA,NA
"140",NA,NA,NA,NA,NA
"141",NA,NA,NA,NA,NA
"142",NA,NA,NA,NA,NA
"143",NA,NA,NA,NA,NA
"144",NA,NA,NA,NA,NA
"145",NA,NA,NA,NA,NA
"146",NA,NA,NA,NA,NA
"147",NA,NA,NA,NA,NA
"148",NA,NA,NA,NA,NA
"149",NA,NA,NA,NA,NA
"150",NA,NA,NA,NA,NA
"151",NA,NA,NA,NA,NA
"152",NA,NA,NA,NA,NA
"153",NA,NA,NA,NA,NA
"154",NA,NA,NA,NA,NA
"155",NA,NA,NA,NA,NA
"156",NA,NA,NA,NA,NA
"157",NA,NA,NA,NA,NA
"158",NA,NA,NA,NA,NA
"159",NA,NA,NA,NA,NA
"160",NA,NA,NA,NA,NA
"161",NA,NA,NA,NA,NA
"162",NA,NA,NA,NA,NA
"163",NA,NA,NA,NA,NA
"164",NA,NA,NA,NA,NA
"165",NA,NA,NA,NA,NA
"166",NA,NA,NA,NA,NA
"167",NA,NA,NA,NA,NA
"168",NA,NA,NA,NA,NA
"169",NA,NA,NA,NA,NA
"170",NA,NA,NA,NA,NA
"171",NA,NA,NA,NA,NA
"172",NA,NA,NA,NA,NA
"173",NA,NA,NA,NA,NA
"174",NA,NA,NA,NA,NA
"175",NA,NA,NA,NA,NA
"176",NA,NA,NA,NA,NA
"177",NA,NA,NA,NA,NA
"178",NA,NA,NA,NA,NA
"179",NA,NA,NA,NA,NA
"180",NA,NA,NA,NA,NA
"181",NA,NA,NA,NA,NA
"182",NA,NA,NA,NA,NA
"183",NA,NA,NA,NA,NA
"184",NA,NA,NA,NA,NA
"185",NA,NA,NA,NA,NA
"186",NA,NA,NA,NA,NA
"187",NA,NA,NA,NA,NA
"188",NA,NA,NA,NA,NA
"189",NA,NA,NA,NA,NA
"190",NA,NA,NA,NA,NA
"191",NA,NA,NA,NA,NA
"192",NA,NA,NA,NA,NA
"193",NA,NA,NA,NA,NA
"194",NA,NA,NA,NA,NA
"195",NA,NA,NA,NA,NA
"196",NA,NA,NA,NA,NA
"197",NA,NA,NA,NA,NA
"198",NA,NA,NA,NA,NA
"199",NA,NA,NA,NA,NA
"200",NA,NA,NA,NA,NA
"201",NA,NA,NA,NA,NA
"202",NA,NA,NA,NA,NA
"203",NA,NA,NA,NA,NA
"204",NA,NA,NA,NA,NA
"205",NA,NA,NA,NA,NA
"206",NA,NA,NA,NA,NA
"207",NA,NA,NA,NA,NA
"208",NA,NA,NA,NA,NA
"209",NA,NA,NA,NA,NA
"210",NA,NA,NA,NA,NA
"211",NA,NA,NA,NA,NA
"212",NA,NA,NA,NA,NA
"213",NA,NA,NA,NA,NA
"214",NA,NA,NA,NA,NA
"215",NA,NA,NA,NA,NA
"216",NA,NA,NA,NA,NA
"217",NA,NA,NA,NA,NA
"218",NA,NA,NA,NA,NA
"219",NA,NA,NA,NA,NA
"220",NA,NA,NA,NA,NA
"221",NA,NA,NA,NA,NA
"222",NA,NA,NA,NA,NA
"223",NA,NA,NA,NA,NA
"224",NA,NA,NA,NA,NA
"225",NA,NA,NA,NA,NA
"226",NA,NA,NA,NA,NA
"227",NA,NA,NA,NA,NA
"228",NA,NA,NA,NA,NA
"229",NA,NA,NA,NA,NA
"230",NA,NA,NA,NA,NA
"231",NA,NA,NA,NA,NA
"232",NA,NA,NA,NA,NA
"233",NA,NA,NA,NA,NA
"234",NA,NA,NA,NA,NA
"235",NA,NA,NA,NA,NA
"236",NA,NA,NA,NA,NA
"237",NA,NA,NA,NA,NA
"238",NA,NA,NA,NA,NA
"239",NA,NA,NA,NA,NA
"240",NA,NA,NA,NA,NA
"241",NA,NA,NA,NA,NA
"242",NA,NA,NA,NA,NA
"243",NA,NA,NA,NA,NA
"244",NA,NA,NA,NA,NA
"245",NA,NA,NA,NA,NA
"246",NA,NA,NA,NA,NA
"247",NA,NA,NA,NA,NA
"248",NA,NA,NA,NA,NA
"249",NA,NA,NA,NA,NA
"250",NA,NA,NA,NA,NA
"251",NA,NA,NA,NA,NA
"252",NA,NA,NA,NA,NA
"253",NA,NA,NA,NA,NA
"254",NA,NA,NA,NA,NA
"255",NA,NA,NA,NA,NA
"256",NA,NA,NA,NA,NA
"257",NA,NA,NA,NA,NA
"258",NA,NA,NA,NA,NA
"259",NA,NA,NA,NA,NA
"260",NA,NA,NA,NA,NA
"261",NA,NA,NA,NA,NA
"262",NA,NA,NA,NA,NA
"263",NA,NA,NA,NA,NA
"264",NA,NA,NA,NA,NA
"265",NA,NA,NA,NA,NA
"266",NA,NA,NA,NA,NA
"267",NA,NA,NA,NA,NA
"268",NA,NA,NA,NA,NA
"269",NA,NA,NA,NA,NA
"270",NA,NA,NA,NA,NA
"271",NA,NA,NA,NA,NA
"272",NA,NA,NA,NA,NA
"273",NA,NA,NA,NA,NA
"274",NA,NA,NA,NA,NA
"275",NA,NA,NA,NA,NA
"276",NA,NA,NA,NA,NA
"277",NA,NA,NA,NA,NA
"278",NA,NA,NA,NA,NA
"279",NA,NA,NA,NA,NA
"280",NA,NA,NA,NA,NA
"281",NA,NA,NA,NA,NA
"282",NA,NA,NA,NA,NA
"283",NA,NA,NA,NA,NA
"284",NA,NA,NA,NA,NA
"285",NA,NA,NA,NA,NA
"286",NA,NA,NA,NA,NA
"287",NA,NA,NA,NA,NA
"288",NA,NA,NA,NA,NA
"289",NA,NA,NA,NA,NA
"290",NA,NA,NA,NA,NA
"291",NA,NA,NA,NA,NA
"292",NA,NA,NA,NA,NA
"293",NA,NA,NA,NA,NA
"294",NA,NA,NA,NA,NA
"295",NA,NA,NA,NA,NA
"296",NA,NA,NA,NA,NA
"297",NA,NA,NA,NA,NA
"298",NA,NA,NA,NA,NA
"299",NA,NA,NA,NA,NA
"300",NA,NA,NA,NA,NA
"301",NA,NA,NA,NA,NA
"302",NA,NA,NA,NA,NA
"303",NA,NA,NA,NA,NA
"304",NA,NA,NA,NA,NA
"305",NA,NA,NA,NA,NA
"306",NA,NA,NA,NA,NA
"307",NA,NA,NA,NA,NA
"308",NA,NA,NA,NA,NA
"309",NA,NA,NA,NA,NA
"310",NA,NA,NA,NA,NA
"311",NA,NA,NA,NA,NA
"312",NA,NA,NA,NA,NA
"313",NA,NA,NA,NA,NA
"314",NA,NA,NA,NA,NA
"315",NA,NA,NA,NA,NA
"316",NA,NA,NA,NA,NA
"317",NA,NA,NA,NA,NA
"318",NA,NA,NA,NA,NA
"319",NA,NA,NA,NA,NA
"320",NA,NA,NA,NA,NA
"321",NA,NA,NA,NA,NA
"322",NA,NA,NA,NA,NA
"323",NA,NA,NA,NA,NA
"324",NA,NA,NA,NA,NA
"325",NA,NA,NA,NA,NA
"326",NA,NA,NA,NA,NA
"327",NA,NA,NA,NA,NA
"328",NA,NA,NA,NA,NA
"329",NA,NA,NA,NA,NA
"330",NA,NA,NA,NA,NA
"331",NA,NA,NA,NA,NA
"332",NA,NA,NA,NA,NA
"333",NA,NA,NA,NA,NA
"334",NA,NA,NA,NA,NA
"335",NA,NA,NA,NA,NA
"336",NA,NA,NA,NA,NA
"337",NA,NA,NA,NA,NA
"338",NA,NA,NA,NA,NA
"339",NA,NA,NA,NA,NA
"340",NA,NA,NA,NA,NA
"341",NA,NA,NA,NA,NA
"342",NA,NA,NA,NA,NA
"343",NA,NA,NA,NA,NA
"344",NA,NA,NA,NA,NA
"345",NA,NA,NA,NA,NA
"346",NA,NA,NA,NA,NA
"347",NA,NA,NA,NA,NA
"348",NA,NA,NA,NA,NA
"349",NA,NA,NA,NA,NA
"350",NA,NA,NA,NA,NA
"351",NA,NA,NA,NA,NA
"352",NA,NA,NA,NA,NA
"353",NA,NA,NA,NA,NA
"354",NA,NA,NA,NA,NA
"355",NA,NA,NA,NA,NA
"356",NA,NA,NA,NA,NA
"357",NA,NA,NA,NA,NA
"358",NA,NA,NA,NA,NA
"359",NA,NA,NA,NA,NA
"360",NA,NA,NA,NA,NA
"361",NA,NA,NA,NA,NA
"362",NA,NA,NA,NA,NA
"363",NA,NA,NA,NA,NA
"364",NA,NA,NA,NA,NA
"365",NA,NA,NA,NA,NA
"366",NA,NA,NA,NA,NA
"367",NA,NA,NA,NA,NA
"368",NA,NA,NA,NA,NA
"369",NA,NA,NA,NA,NA
"370",NA,NA,NA,NA,NA
"371",NA,NA,NA,NA,NA
"372",NA,NA,NA,NA,NA
"373",NA,NA,NA,NA,NA
"374",NA,NA,NA,NA,NA
"375",NA,NA,NA,NA,NA
"376",NA,NA,NA,NA,NA
"377",NA,NA,NA,NA,NA
"378",NA,NA,NA,NA,NA
"379",NA,NA,NA,NA,NA
"380",NA,NA,NA,NA,NA
"381",NA,NA,NA,NA,NA
"382",NA,NA,NA,NA,NA
"383",NA,NA,NA,NA,NA
"384",NA,NA,NA,NA,NA
"385",NA,NA,NA,NA,NA
"386",NA,NA,NA,NA,NA
"387",NA,NA,NA,NA,NA
"388",NA,NA,NA,NA,NA
"389",NA,NA,NA,NA,NA
"390",NA,NA,NA,NA,NA
"391",NA,NA,NA,NA,NA
"392",NA,NA,NA,NA,NA
"393",NA,NA,NA,NA,NA
"394",NA,NA,NA,NA,NA
"395",NA,NA,NA,NA,NA
"396",NA,NA,NA,NA,NA
"397",26.22145,0,-0.186765,1970,5612.76858212856
"398",25.5664,0,-0.2115346,1970,4151.87346675566
"399",89.13204,1,0.8160058,1970,7819.58788610233
"400",83.71058,1,0.7070057,1970,2669.59175270784
"401",75.91518,1,0.2434553,1970,2820.05915660119
"402",37.65149,0,-0.2976758,1970,2580.80372708784
"403",85.99451,1,0.5611857,1970,1896.44100244379
"404",55.11338,0,-0.0845176,1970,5126.07653182855
"405",31.50932,0,-0.432362,1970,4156.42882599496
"406",69.03356,1,0.4058515,1970,2299.81911414844
"407",37.92152,0,-0.2671804,1970,5651.04864274279
"408",33.29985,0,-0.3425023,1970,2337.30324828414
"409",36.64979,0,-0.5395997,1970,2724.47881702288
"410",77.88158,1,0.2318453,1970,2248.7906671735
"411",61.56103,1,0.1420366,1970,1765.80513051406
"412",67.96241,1,0.1413459,1970,2478.40841016844
"413",70.80555,1,0.4906845,1970,1283.88709890504
"414",46.64043,0,-0.467401,1970,4103.47614998124
"415",57.32198,1,0.3323356,1970,3156.22643811677
"416",68.99651,1,0.280352,1970,1114.903491332
"417",69.14565,1,0.1310533,1970,3749.89560200489
"418",36.76414,0,-0.3639644,1970,3141.0198506409
"419",21.01526,0,-0.5984181,1970,796.784428145497
"420",33.92221,0,-0.9257389,1970,299.367822295996
"421",40.39003,0,-0.3169791,1970,3146.80130396647
"422",74.54928,1,0.4501356,1970,1644.80063092226
"423",63.11113,1,0.0768368,1970,4815.85538892006
"424",66.42411,1,0.2709796,1970,1797.75935979278
"425",62.24421,1,0.0255899,1970,435.254514681768
"426",35.54829,0,-0.3173225,1970,4729.82727107315
"427",70.39275,1,0.2880481,1970,1038.31614373381
"428",29.68085,0,-0.4031324,1970,3813.10281358739
"429",94.52791,1,0.8313766,1970,2269.03496171273
"430",59.37432,1,0.1549257,1970,6574.44814174842
"431",36.66031,0,-0.301337,1970,3912.30150564072
"432",32.39079,0,-0.4567205,1970,2093.73439168144
"433",35.07837,0,-0.3734232,1970,3428.06374997114
"434",71.28172,1,0.3408531,1970,5530.7938580964
"435",30.46629,0,-0.4432422,1970,2898.8482418596
"436",25.92084,0,-0.4451153,1970,1900.99312673773
"437",62.59041,1,0.0453784,1970,844.676931285687
"438",68.25639,1,0.3479216,1970,3151.43996147822
"439",73.17599,1,0.1976904,1970,2117.45483737981
"440",26.5384,0,-0.4979201,1970,605.886954371506
"441",27.82844,0,-0.3427145,1970,1501.7730498595
"442",54.46072,1,0.0191627,1970,2498.59478023879
"443",30.26474,0,-0.4741618,1970,164.578007867369
"444",24.21887,0,-0.432218,1970,1976.29415612114
"445",72.12209,0,-0.6907014,1970,1971.71789012557
"446",48.78276,1,0.2720624,1970,3543.00286550357
"447",45.29767,1,0.0427436,1970,1265.71185436802
"448",36.6064,0,-0.2570992,1970,1177.18840534534
"449",63.67252,1,0.0424381,1970,4450.67254161086
"450",55.08442,1,0.0938533,1970,2458.34800950712
"451",48.72662,1,0.2515588,1970,3072.79765868287
"452",46.74261,1,0.0870546,1970,3327.37255157185
"453",54.55938,1,0.1151929,1970,898.077621664764
"454",42.62733,0,-0.0407905,1970,3476.26846257203
"455",54.74386,1,0.1262996,1970,856.6176414489
"456",51.06857,0,-0.2457459,1970,3430.97281036802
"457",44.55596,0,-0.1734588,1970,3144.75192047726
"458",80.16984,1,0.6931336,1970,3856.58661668722
"459",57.77271,1,0.0568276,1970,5305.13542305886
"460",24.20558,0,-0.2334422,1970,2460.9696853659
"461",72.26724,1,0.2396749,1970,2019.56044149658
"462",53.35947,1,0.099997,1970,3686.87115277697
"463",70.62521,1,0.1231792,1970,3268.03251039124
"464",45.8928,0,-0.0972953,1970,2373.84257560611
"465",71.71407,1,0.1407954,1970,3059.61365150065
"466",99.95486,1,0.3636772,1970,3876.72590065874
"467",34.84134,0,-0.1504598,1970,4427.07391362707
"468",42.63581,0,-0.1128529,1970,1693.97614685789
"469",99.99135,1,0.9999177,1970,1073.6108568342
"470",72.49825,1,0.9968755,1970,1124.65559752719
"471",99.99809,1,0.9999692,1970,3099.8369669895
"472",71.71577,1,0.9999285,1970,1849.62492277376
"473",99.99326,1,0.9999256,1970,1533.0559364718
"474",72.89183,0,-0.0765475,1970,1710.31660376896
"475",41.83089,0,-0.1888377,1970,1764.96063928582
"476",31.53801,0,-0.0871165,1970,3118.66609082681
"477",90.96246,1,0.6912992,1970,1504.38924982572
"478",74.72334,1,0.3072477,1970,1848.41626294905
"479",68.93722,1,0.0807058,1970,3665.35466042589
"480",31.99371,0,-0.3662388,1970,2119.72653887196
"481",68.83186,1,0.1071639,1970,3816.96884567239
"482",56.152,1,0.1938556,1970,4922.26048726078
"483",87.26151,1,0.6628307,1970,2607.59384452675
"484",73.86154,1,0.2555887,1970,4852.70927137259
"485",75.77326,1,0.28879,1970,3761.07932239854
"486",37.75957,0,-0.335932,1970,1690.65916609455
"487",71.94362,1,0.1152526,1970,3841.87554692153
"488",37.90705,0,-0.4087013,1970,6476.97900325094
"489",42.02253,0,-0.4547197,1970,5192.32001609571
"490",34.46868,0,-0.4225959,1970,2475.4197279088
"491",31.11635,0,-0.3742637,1970,4229.34475176099
"492",33.23233,0,-0.3469234,1970,1238.89333997402
"493",37.74697,0,-0.3053781,1970,986.150989696788
"494",33.93945,0,-0.2177286,1970,1483.63356223791
"495",31.84105,0,-0.2695615,1970,3583.24160664984
"496",32.45634,0,-0.3237244,1970,780.904498956842
"497",62.4828,1,0.0829106,1970,3253.85339968456
"498",41.00502,0,-0.2862539,1970,786.423408163602
"499",53.96519,1,0.0796921,1970,1945.50330680694
"500",74.22229,1,0.4263616,1970,2159.3006863016
"501",65.63681,1,0.1369484,1970,2694.38973829644
"502",49.61686,0,-0.1011715,1970,2162.68250189327
"503",57.53901,1,0.0447884,1970,337.994277842123
"504",51.87409,0,-0.0283752,1970,2773.46170322858
"505",44.00444,0,-0.2592919,1970,2393.15878873851
"506",39.32224,0,-0.297823,1970,1659.88328803709
"507",42.9169,0,-0.1952562,1970,1948.42514297126
"508",47.40761,0,-0.089168,1970,3967.4910998813
"509",62.4953,1,0.0884649,1970,1339.32229108767
"510",49.19905,0,-0.0774918,1970,3596.08630011344
"511",58.31392,1,0.0616293,1970,3163.86930879982
"512",49.20086,0,-0.0601268,1970,2787.92655169301
"513",60.47517,1,0.100999,1970,2676.25855822348
"514",41.01745,0,-0.2809695,1970,3736.46915559405
"515",45.39052,0,-0.0785334,1970,4080.69504039229
"516",64.89499,1,0.2425263,1970,4889.52486534593
"517",43.02381,0,-0.3008976,1970,2729.95503769334
"518",37.27964,0,-0.3018076,1970,2543.00647004499
"519",43.18489,0,-0.0290333,1970,934.849243466102
"520",52.34184,0,-0.3514968,1970,3048.20366811251
"521",45.70958,0,-0.2566506,1970,859.020262487167
"522",34.94357,0,-0.2942016,1970,1989.01767795577
"523",67.01078,0,-0.2894816,1970,1772.28063043652
"524",48.52118,0,-0.118965,1970,976.519094740564
"525",33.40845,0,-0.299329,1970,5915.19738536529
"526",19.55652,0,-0.4702789,1970,3894.02475560468
"527",64.89977,1,0.1412546,1970,1731.47137135494
"528",75.27035,1,0.2392849,1970,4198.32937348107
"529",69.27293,1,0.0245272,1970,513.859469464783
"530",59.16184,1,0.1324619,1970,2560.19944277849
"531",64.20932,1,0.1141174,1970,3953.13802927427
"532",23.6598,0,-0.4718072,1970,2025.07543363137
"533",68.46414,1,0.1811754,1970,2262.38652949437
"534",70.04731,1,0.3118836,1970,1929.75642386305
"535",38.58827,0,-0.054474,1970,3581.0171140494
"536",50.80711,0,-0.0599878,1970,3318.6399499956
"537",58.65613,1,0.5924082,1970,5075.56318788445
"538",36.61599,0,-0.2178652,1970,1073.09475500425
"539",99.98385,1,0.4729169,1970,3807.05019005025
"540",37.65724,1,0.2012596,1970,3613.61142698413
"541",54.32901,1,0.2190034,1970,5197.83883959412
"542",36.7015,0,-0.2081893,1970,2867.54146118076
"543",61.69378,0,-0.3215669,1970,5357.85675489919
"544",67.32553,1,0.2503072,1970,3046.38427397889
"545",99.99554,1,0.9999071,1970,5198.07422072587
"546",59.14835,1,0.6588635,1970,2105.33237492327
"547",42.9589,0,-0.3473702,1970,3315.31762753021
"548",37.47311,0,-0.0945333,1970,1218.71030968258
"549",43.73339,0,-0.3031358,1970,3849.51119351996
"550",38.10022,0,-0.3125602,1970,1442.59366967677
"551",38.49477,0,-0.2559776,1970,1496.22296349654
"552",39.74533,0,-0.2826704,1970,540.075077137279
"553",29.22147,0,-0.2131576,1970,1906.55373100191
"554",34.14492,0,-0.3767669,1970,3169.91817084523
"555",35.06911,0,-0.3494386,1970,1017.48691997001
"556",40.86223,0,-0.3185985,1970,3223.66401016054
"557",38.38087,0,-0.1757981,1970,1208.68367838823
"558",76.14255,1,0.4105377,1970,2571.63386097825
"559",86.14881,1,0.7284864,1970,2369.26243318773
"560",70.04551,1,0.2609728,1970,3610.62665359591
"561",79.94587,1,0.4209988,1970,2385.84519105431
"562",79.13644,1,0.4801516,1970,4420.94087074342
"563",79.6677,1,0.5020026,1970,814.574002799028
"564",35.39597,0,-0.2026142,1970,3885.79671502814
"565",40.77438,0,-0.1606574,1970,3151.22470972213
"566",30.71441,0,-0.3749528,1970,4750.00511936168
"567",36.67973,0,-0.1900769,1970,1609.15018843633
"568",49.36547,0,-0.2956325,1970,1803.74665949166
"569",74.18378,1,0.2265838,1970,5045.29706536776
"570",57.11942,1,0.1577533,1970,636.625315175821
"571",47.26517,0,-0.123957,1970,3021.58371346426
"572",54.11866,0,-0.0249476,1970,1606.78806144577
"573",75.48589,1,0.3525846,1970,3236.13452832663
"574",90.52681,1,0.2829764,1970,614.288490793804
"575",57.58782,1,0.0644127,1970,6297.7321033699
"576",74.76144,1,0.4682998,1970,2833.45577593495
"577",60.10408,1,0.1571678,1970,1248.85926854549
"578",61.32555,1,0.3070903,1970,2658.21128144924
"579",53.60543,1,0.0910574,1970,4195.43038499646
"580",64.34508,1,0.1754439,1970,2645.77876024806
"581",63.00409,1,0.044716,1970,2164.33306510177
"582",55.9798,1,0.0791975,1970,3318.93192114
"583",49.52455,1,0.0723133,1970,695.610909171671
"584",64.08884,0,-0.3569719,1970,2415.19867569134
"585",23.18544,0,-0.1069803,1970,4069.47673938232
"586",48.08501,0,-0.103342,1970,2107.59771616626
"587",40.46707,0,-0.3566265,1970,1762.67541821028
"588",82.45679,1,0.4428765,1970,2994.13785197065
"589",32.58021,0,-0.2673939,1970,2159.17430873336
"590",30.37046,0,-0.4228515,1970,5133.86117194308
"591",38.43938,0,-0.1707538,1970,4967.38079543805
"592",48.3206,0,-0.1081692,1970,2142.10652150849
"593",55.16275,1,0.1583886,1970,130.391538842022
"594",58.35397,1,0.0690971,1970,2308.2112957974
"595",31.81813,0,-0.3825493,1970,2055.81820302685
"596",44.0764,0,-0.3175016,1970,1054.43541044804
"597",41.42078,0,-0.2548599,1970,2128.28919649443
"598",60.98792,1,0.2316388,1970,1725.78868141462
"599",56.6049,1,0.0119081,1970,3539.00488069305
"600",69.9792,1,0.2944146,1970,2858.7986378321
"601",68.45561,1,0.3225137,1970,3890.82813796623
"602",33.8013,0,-0.4313227,1970,1162.20171765539
"603",71.10967,1,0.2069984,1970,1231.64814406085
"604",71.39408,1,0.2634332,1970,276.421680451619
"605",61.05578,1,0.0986543,1970,3175.82108627426
"606",40.78981,0,-0.062094,1970,1734.40208976356
"607",50.80558,0,-0.0140415,1970,2355.47092473557
"608",52.21922,1,0.1800656,1970,3995.72893372115
"609",33.85849,0,-0.4052678,1970,1986.22683629374
"610",54.40631,1,0.1182668,1970,2546.9880249021
"611",35.05988,0,-0.4288758,1970,1022.99478312061
"612",46.0773,1,0.0141397,1970,3844.41376643114
"613",90.75085,1,0.3263636,1970,2601.63248355181
"614",62.83273,1,0.481429,1970,820.926718707548
"615",91.88618,1,0.0698674,1970,1978.92689888603
"616",72.97086,1,0.4105958,1970,832.744628559523
"617",78.56766,1,0.5122942,1970,394.462789550369
"618",81.7757,1,0.4025709,1970,2722.11117093955
"619",77.03848,1,0.5207351,1970,1961.86850050816
"620",55.16242,1,0.360074,1970,1837.11124327102
"621",64.66228,1,0.2691065,1970,4063.0080478302
"622",51.63858,1,0.0274654,1970,739.202454795789
"623",62.00602,1,0.0888038,1970,2057.04286619728
"624",86.76114,1,0.6508437,1970,1603.43197479106
"625",52.2603,1,0.200544,1970,744.991256967476
"626",78.80604,1,0.6217735,1970,2422.25114189771
"627",83.71422,1,0.6945947,1970,742.469607362294
"628",71.58571,1,0.6422688,1970,1199.53477861338
"629",76.17052,1,0.4375205,1970,5518.20800300658
"630",69.85792,1,0.2670798,1970,4393.61525298526
"631",36.99833,1,0.2388012,1970,1726.33018248717
"632",15.66502,0,-0.4505727,1970,561.425638741652
"633",52.20842,0,-0.029294,1970,2399.45493138709
"634",24.72915,0,-0.0250381,1970,3568.36014398485
"635",66.20792,0,-0.1487924,1970,1219.49071510404
"636",42.93553,0,-0.3304984,1970,3419.12404450611
"637",27.62059,0,-0.1755722,1970,1504.80165907092
"638",34.23258,0,-0.3515725,1970,1115.71529052188
"639",33.46857,0,-0.3706118,1970,1415.696208761
"640",40.50711,1,0.0754134,1970,2958.38904362205
"641",51.90295,1,0.3990601,1970,5004.48811093477
"642",22.26381,0,-0.4696314,1970,2191.72895051952
"643",29.40104,0,-0.4315385,1970,1041.41896254925
"644",28.57067,0,-0.3034548,1970,2080.16037756502
"645",48.39309,1,0.1265002,1970,1932.10628022486
"646",36.64072,0,-0.307526,1970,3254.73053598164
